host_id,neighbourhood,latitude,longitude,room_type,price in $,minimum_nights,availability_365,Apartment_type,City,Rating,No_of_bed_rooms,No_of_beds,No_of_bathrooms,Bathroom_type
2699033.0,De Baarsjes - Oud-West,52.37126,4.86241,Entire home/apt,250.0,2.0,0.0,Rental unit,Amsterdam,4.55,2.0,2.0,1.0,private
618589.0,Westerpark,52.38444,4.86916,Entire home/apt,80.0,2.0,125.0,Rental unit,Amsterdam,4.41,,1.0,1.5,private
4091515.0,Centrum-Oost,52.37026,4.89931,Private room,163.0,2.0,268.0,Rental unit,Amsterdam,4.61,1.0,1.0,1.0,private
2737834.0,Buitenveldert - Zuidas,52.33558,4.86878,Entire home/apt,139.0,3.0,0.0,Rental unit,Amsterdam,4.64,1.0,1.0,1.0,private
2797260.0,Centrum-Oost,52.37079,4.90153,Entire home/apt,150.0,3.0,0.0,Rental unit,Amsterdam,4.82,2.0,2.0,1.0,private
1672823.0,De Pijp - Rivierenbuurt,52.35625,4.89323,Private room,250.0,2.0,1.0,Home,Amsterdam,4.93,1.0,1.0,1.5,private
4106698.0,De Baarsjes - Oud-West,52.35982,4.85635,Entire home/apt,110.0,3.0,0.0,Rental unit,Amsterdam,,1.0,1.0,1.0,private
1687595.0,De Baarsjes - Oud-West,52.3606,4.85739,Entire home/apt,220.0,3.0,6.0,Loft,Amsterdam,4.88,4.0,4.0,2.0,private
2439449.0,Zuid,52.34904,4.86765,Private room,90.0,4.0,76.0,Bed and breakfast,Amsterdam,4.87,1.0,1.0,1.5,shared
4117326.0,Centrum-Oost,52.36855,4.90766,Entire home/apt,149.0,2.0,0.0,Rental unit,Amsterdam,4.88,1.0,1.0,1.0,private
2830952.0,Centrum-Oost,52.36112,4.89462,Entire home/apt,245.0,5.0,0.0,Loft,Amsterdam,4.85,4.0,4.0,2.5,private
1740785.0,Oud-Oost,52.35715,4.90926,Private room,108.0,3.0,131.0,Townhouse,Amsterdam,4.89,1.0,1.0,,private
4125951.0,Centrum-West,52.37142,4.89036,Entire home/apt,399.0,4.0,11.0,Rental unit,Amsterdam,4.66,2.0,2.0,1.0,private
1811745.0,De Baarsjes - Oud-West,52.36348,4.87648,Entire home/apt,245.0,2.0,5.0,Townhouse,Amsterdam,4.86,4.0,4.0,1.5,private
1849988.0,Centrum-Oost,52.367377549542496,4.89670713355101,Private room,176.0,3.0,99.0,Condo,Amsterdam,4.74,1.0,1.0,1.5,private
2851886.0,Westerpark,52.39144,4.88436,Private room,150.0,2.0,28.0,Guest suite,Amsterdam,4.97,1.0,1.0,,private
2586026.0,Centrum-Oost,52.36856,4.89896,Entire home/apt,250.0,2.0,40.0,Rental unit,Amsterdam,4.78,2.0,2.0,1.0,private
2865851.0,Slotervaart,52.36022,4.84346,Entire home/apt,145.0,7.0,147.0,Rental unit,Amsterdam,4.75,1.0,1.0,1.5,private
2868026.0,Oud-Noord,52.39442,4.91478,Entire home/apt,170.0,5.0,0.0,Townhouse,Amsterdam,4.78,2.0,2.0,1.5,private
1853421.0,Centrum-Oost,52.36263,4.90216,Entire home/apt,337.0,5.0,77.0,Condo,Amsterdam,5.0,1.0,1.0,1.5,private
1855417.0,De Baarsjes - Oud-West,52.364,4.87814,Entire home/apt,209.0,3.0,1.0,Rental unit,Amsterdam,4.91,1.0,1.0,1.5,private
4184910.0,Centrum-Oost,52.3686370741002,4.89909564615733,Private room,269.0,1.0,255.0,Boat,Amsterdam,4.76,1.0,1.0,,private
1887873.0,De Pijp - Rivierenbuurt,52.3548,4.90533,Private room,429.0,3.0,89.0,Rental unit,Amsterdam,4.86,1.0,1.0,1.0,shared
1759884.0,Centrum-Oost,52.36918,4.91316,Entire home/apt,410.0,3.0,220.0,Rental unit,Amsterdam,4.54,3.0,3.0,1.0,private
4215174.0,De Baarsjes - Oud-West,52.36884,4.86127,Entire home/apt,150.0,4.0,156.0,Rental unit,Amsterdam,4.83,2.0,2.0,1.0,private
2912339.0,De Baarsjes - Oud-West,52.36809,4.85436,Entire home/apt,140.0,4.0,239.0,Rental unit,Amsterdam,4.87,1.0,1.0,1.0,private
1907015.0,De Pijp - Rivierenbuurt,52.35465,4.9061,Private room,287.0,3.0,138.0,Houseboat,Amsterdam,4.7,1.0,1.0,,private
1657181.0,De Pijp - Rivierenbuurt,52.35205,4.90267,Entire home/apt,175.0,3.0,2.0,Rental unit,Amsterdam,4.57,2.0,2.0,1.0,private
2008330.0,Watergraafsmeer,52.35338,4.93407,Private room,154.0,2.0,156.0,Loft,Amsterdam,4.85,1.0,1.0,1.5,private
2913467.0,Watergraafsmeer,52.35567,4.93175,Entire home/apt,200.0,7.0,15.0,Rental unit,Amsterdam,4.83,4.0,4.0,1.5,private
4221960.0,Centrum-Oost,52.36476,4.90925,Private room,135.0,1.0,161.0,Boat,Amsterdam,4.93,1.0,1.0,,private
2063261.0,Zuid,52.35043,4.84676,Entire home/apt,110.0,4.0,12.0,Rental unit,Amsterdam,4.89,1.0,1.0,1.0,private
4239235.0,De Pijp - Rivierenbuurt,52.34725,4.89341,Entire home/apt,249.0,4.0,0.0,Rental unit,Amsterdam,4.94,2.0,2.0,1.5,private
1336633.0,Oostelijk Havengebied - Indische Buurt,52.36905,4.93528,Entire home/apt,145.0,2.0,144.0,Rental unit,Amsterdam,4.88,1.0,1.0,1.0,private
2914846.0,Zuid,52.34788,4.8506,Entire home/apt,394.0,2.0,57.0,Rental unit,Amsterdam,4.95,4.0,4.0,2.0,private
4287096.0,Centrum-Oost,52.35944,4.89299,Entire home/apt,495.0,4.0,18.0,Home,Amsterdam,4.67,2.0,2.0,1.5,private
3007402.0,Westerpark,52.37621,4.87075,Private room,148.0,1.0,276.0,Boat,Amsterdam,4.75,1.0,1.0,,private
